Version,Config,Bench,n,fail,perf,perf_adj,std%,sem%,peak_memory,weight,,
v0.0.6,A100-80Go-SXM4 x 8,bert-fp16,8,0,155.25,155.25,3.60%,0.20%,24456,0,,
v0.0.6,A100-80Go-SXM4 x 8,bert-fp32,8,0,29.25,29.25,0.80%,0.10%,31428,0,,
v0.0.6,A100-80Go-SXM4 x 8,bert-tf32,8,0,120.33,120.33,6.20%,0.40%,31428,0,,1.290201945
v0.0.6,A100-80Go-SXM4 x 8,bert-tf32-fp16,8,0,154.79,154.79,3.50%,0.20%,24456,3,,1
v0.0.6,A100-80Go-SXM4 x 8,convnext_large-fp16,8,0,335.58,335.58,13.00%,0.80%,27560,0,,
v0.0.6,A100-80Go-SXM4 x 8,convnext_large-fp32,8,0,44.66,44.66,14.80%,0.90%,49688,0,,
v0.0.6,A100-80Go-SXM4 x 8,convnext_large-tf32,8,0,135.75,135.75,11.90%,0.80%,49688,0,,
v0.0.6,A100-80Go-SXM4 x 8,convnext_large-tf32-fp16,8,0,332.98,332.98,14.90%,0.90%,27560,3,,
v0.0.6,A100-80Go-SXM4 x 8,davit_large,8,0,305.18,305.18,5.70%,0.30%,34960,1,,
v0.0.6,A100-80Go-SXM4 x 8,davit_large-multi,1,0,2234.24,2234.24,9.90%,1.30%,42134,5,,
v0.0.6,A100-80Go-SXM4 x 8,dlrm,1,0,214677.43,14677.43,13.10%,1.70%,3098,1,,
v0.0.6,A100-80Go-SXM4 x 8,focalnet,8,0,391.95,391.95,6.10%,0.30%,26308,2,,
v0.0.6,A100-80Go-SXM4 x 8,opt-1_3b,1,0,25.59,25.59,1.30%,0.20%,44004,5,,
v0.0.6,A100-80Go-SXM4 x 8,opt-6_7b,1,0,14.15,14.15,0.60%,0.10%,53984,5,,
v0.0.6,A100-80Go-SXM4 x 8,reformer,8,0,60.72,60.72,1.30%,0.10%,25280,1,,
v0.0.6,A100-80Go-SXM4 x 8,regnet_y_128gf,8,0,95.66,95.66,4.70%,0.20%,31874,2,,
v0.0.6,A100-80Go-SXM4 x 8,resnet152,8,0,694.52,694.52,4.70%,0.20%,36058,1,,
v0.0.6,A100-80Go-SXM4 x 8,resnet152-multi,1,0,5329.83,5329.83,6.00%,0.80%,38442,5,,
v0.0.6,A100-80Go-SXM4 x 8,resnet50,8,0,927.77,927.77,22.60%,1.00%,4930,1,,
v0.0.6,A100-80Go-SXM4 x 8,stargan,8,0,50.73,50.73,40.80%,1.90%,37632,1,,
v0.0.6,A100-80Go-SXM4 x 8,super-slomo,8,0,41.51,41.51,3.30%,0.20%,33984,1,,
v0.0.6,A100-80Go-SXM4 x 8,t5,8,0,48.85,48.85,4.60%,0.20%,35370,2,,
v0.0.6,A100-80Go-SXM4 x 8,whisper,8,0,15.4,15.4,41.40%,1.90%,36908,1,,
v0.0.6,A100-80Go-SXM4 x 4,bert-fp16,4,0,155.24,155.24,3.90%,0.30%,24456,0,,
v0.0.6,A100-80Go-SXM4 x 4,bert-fp32,4,0,29.32,29.32,0.70%,0.10%,31428,0,,
v0.0.6,A100-80Go-SXM4 x 4,bert-tf32,4,0,119.57,119.57,5.80%,0.50%,31428,0,,
v0.0.6,A100-80Go-SXM4 x 4,bert-tf32-fp16,4,0,155.58,155.58,3.70%,0.30%,24456,3,,
v0.0.6,A100-80Go-SXM4 x 4,convnext_large-fp16,4,0,341.71,341.71,11.00%,1.00%,27560,0,,
v0.0.6,A100-80Go-SXM4 x 4,convnext_large-fp32,4,0,44.51,44.51,13.70%,1.20%,49688,0,,
v0.0.6,A100-80Go-SXM4 x 4,convnext_large-tf32,4,0,134.71,134.71,13.20%,1.20%,49688,0,,
v0.0.6,A100-80Go-SXM4 x 4,convnext_large-tf32-fp16,4,0,341.55,341.55,10.50%,0.90%,27560,3,,
v0.0.6,A100-80Go-SXM4 x 4,davit_large,4,0,304.63,304.63,4.20%,0.30%,34960,1,,
v0.0.6,A100-80Go-SXM4 x 4,davit_large-multi,1,0,1142.07,1142.07,7.70%,1.00%,42118,5,,
v0.0.6,A100-80Go-SXM4 x 4,dlrm,1,0,288758.94,288758.94,13.30%,1.70%,3618,1,,
v0.0.6,A100-80Go-SXM4 x 4,focalnet,4,0,394.31,394.31,4.70%,0.30%,26318,2,,
v0.0.6,A100-80Go-SXM4 x 4,opt-1_3b,1,0,13.65,13.65,0.50%,0.10%,43958,5,,
v0.0.6,A100-80Go-SXM4 x 4,opt-6_7b,1,0,5.97,5.97,0.30%,0.10%,78850,5,,
v0.0.6,A100-80Go-SXM4 x 4,reformer,4,0,60.87,60.87,1.20%,0.10%,25280,1,,
v0.0.6,A100-80Go-SXM4 x 4,regnet_y_128gf,4,0,96.4,96.4,3.20%,0.20%,31874,2,,
v0.0.6,A100-80Go-SXM4 x 4,resnet152,4,0,690.07,690.07,6.60%,0.40%,35572,1,,
v0.0.6,A100-80Go-SXM4 x 4,resnet152-multi,1,0,2564.62,2564.62,7.40%,1.00%,43176,5,,
v0.0.6,A100-80Go-SXM4 x 4,resnet50,4,0,1000.99,1000.99,18.60%,1.20%,4930,1,,
v0.0.6,A100-80Go-SXM4 x 4,stargan,4,0,50.84,50.84,39.90%,2.60%,37632,1,,
v0.0.6,A100-80Go-SXM4 x 4,super-slomo,4,0,41.31,41.31,2.20%,0.10%,33984,1,,
v0.0.6,A100-80Go-SXM4 x 4,t5,4,0,49.12,49.12,4.70%,0.30%,35370,2,,
v0.0.6,A100-80Go-SXM4 x 4,whisper,4,0,22.31,22.31,6.80%,0.40%,36908,1,,
v0.0.6,MI250 x 8,bert-fp16,8,0,84.26,84.26,0.50%,0.00%,23638,0,,
v0.0.6,MI250 x 8,bert-fp32,8,0,49.2,49.2,2.50%,0.20%,30425,0,,
v0.0.6,MI250 x 8,bert-tf32,8,0,49.22,49.22,2.60%,0.20%,30425,0,,
v0.0.6,MI250 x 8,bert-tf32-fp16,8,0,84.32,84.32,0.40%,0.00%,23638,3,,
v0.0.6,MI250 x 8,convnext_large-fp16,8,0,51.84,51.84,2.60%,0.20%,26307,0,,
v0.0.6,MI250 x 8,convnext_large-fp32,8,0,24.04,24.04,16.30%,1.00%,46134,0,,
v0.0.6,MI250 x 8,convnext_large-tf32,8,0,24.04,24.04,16.50%,1.10%,46062,0,,
v0.0.6,MI250 x 8,convnext_large-tf32-fp16,8,0,51.83,51.83,2.70%,0.20%,26296,3,,
v0.0.6,MI250 x 8,davit_large,8,6,45.43,11.36,0.40%,0.00%,33254,1,,
v0.0.6,MI250 x 8,davit_large-multi,1,1,358.58,0,0.20%,0.10%,35645,5,,
v0.0.6,MI250 x 8,dlrm,1,1,304785.14,NaN,NaN,NaN,-1,1,,
v0.0.6,MI250 x 8,focalnet,8,8,38.55,0,0.40%,0.10%,23262,2,,
v0.0.6,MI250 x 8,opt-1_3b,1,0,13.9,13.9,5.10%,0.90%,42543,5,,
v0.0.6,MI250 x 8,opt-6_7b,1,0,2.22,2.22,0.70%,0.10%,54034,5,,
v0.0.6,MI250 x 8,reformer,8,0,18.37,18.37,0.20%,0.00%,24492,1,,
v0.0.6,MI250 x 8,regnet_y_128gf,8,0,37.76,37.76,10.70%,0.50%,28398,2,,
v0.0.6,MI250 x 8,resnet152,8,0,506.36,506.36,1.70%,0.10%,32993,1,,
v0.0.6,MI250 x 8,resnet152-multi,1,0,3971.74,3971.74,1.00%,0.10%,37417,5,,
v0.0.6,MI250 x 8,resnet50,8,0,766.73,766.73,13.50%,0.60%,3936,1,,
v0.0.6,MI250 x 8,stargan,8,0,21.63,21.63,38.10%,1.70%,36562,1,,
v0.0.6,MI250 x 8,super-slomo,8,0,26.79,26.79,1.00%,0.00%,32862,1,,
v0.0.6,MI250 x 8,t5,8,0,29.2,29.2,1.30%,0.10%,34438,2,,
v0.0.6,MI250 x 8,whisper,8,0,37.1,37.1,106.50%,4.80%,36656,1,,
v0.0.6,A100-80Go-SXM4 x 2,bert-fp16,2,0,155.63,155.63,4.00%,0.50%,24456,0,,
v0.0.6,A100-80Go-SXM4 x 2,bert-fp32,2,0,29.32,29.32,0.60%,0.10%,31428,0,,
v0.0.6,A100-80Go-SXM4 x 2,bert-tf32,2,0,119.72,119.72,5.30%,0.70%,31428,0,,
v0.0.6,A100-80Go-SXM4 x 2,bert-tf32-fp16,2,0,154.46,154.46,1.70%,0.20%,24456,3,,
v0.0.6,A100-80Go-SXM4 x 2,convnext_large-fp16,2,0,341.26,341.26,10.70%,1.40%,27560,0,,
v0.0.6,A100-80Go-SXM4 x 2,convnext_large-fp32,2,0,44.52,44.52,13.30%,1.70%,49688,0,,
v0.0.6,A100-80Go-SXM4 x 2,convnext_large-tf32,2,0,135.76,135.76,12.40%,1.60%,49688,0,,
v0.0.6,A100-80Go-SXM4 x 2,convnext_large-tf32-fp16,2,0,340.84,340.84,11.90%,1.50%,27560,3,,
v0.0.6,A100-80Go-SXM4 x 2,davit_large,2,0,305.84,305.84,4.90%,0.40%,34704,1,,
v0.0.6,A100-80Go-SXM4 x 2,davit_large-multi,1,0,573.37,573.37,6.40%,0.80%,37964,5,,
v0.0.6,A100-80Go-SXM4 x 2,dlrm,1,0,268676.23,268676.23,20.10%,2.60%,4822,1,,
v0.0.6,A100-80Go-SXM4 x 2,focalnet,2,0,394.71,394.71,5.00%,0.50%,26320,2,,
v0.0.6,A100-80Go-SXM4 x 2,opt-1_3b,1,0,7.14,7.14,0.30%,0.00%,43670,5,,
v0.0.6,A100-80Go-SXM4 x 2,opt-6_7b,1,1,NaN,NaN,NaN,NaN,14394,5,,
v0.0.6,A100-80Go-SXM4 x 2,reformer,2,0,60.86,60.86,0.90%,0.10%,25280,1,,
v0.0.6,A100-80Go-SXM4 x 2,regnet_y_128gf,2,0,96.36,96.36,3.60%,0.30%,31874,2,,
v0.0.6,A100-80Go-SXM4 x 2,resnet152,2,0,701.76,701.76,3.90%,0.40%,36036,1,,
v0.0.6,A100-80Go-SXM4 x 2,resnet152-multi,1,0,1298.75,1298.75,6.20%,0.80%,42888,5,,
v0.0.6,A100-80Go-SXM4 x 2,resnet50,2,0,1027.32,1027.32,17.80%,1.60%,4930,1,,
v0.0.6,A100-80Go-SXM4 x 2,stargan,2,0,50.94,50.94,39.50%,3.60%,53576,1,,
v0.0.6,A100-80Go-SXM4 x 2,super-slomo,2,0,42.12,42.12,2.00%,0.20%,33984,1,,
v0.0.6,A100-80Go-SXM4 x 2,t5,2,0,49.14,49.14,4.60%,0.40%,35370,2,,
v0.0.6,A100-80Go-SXM4 x 2,whisper,2,0,42.14,42.14,4.80%,0.40%,36908,1,,
v0.0.6,RTX8000 x 8,bert-fp16,8,0,59.26,59.26,8.70%,0.60%,24625,0,,
v0.0.6,RTX8000 x 8,bert-fp32,8,0,22.47,22.47,11.70%,0.70%,31597,0,,
v0.0.6,RTX8000 x 8,bert-tf32,8,0,22.4,22.4,11.50%,0.70%,31597,0,,
v0.0.6,RTX8000 x 8,bert-tf32-fp16,8,0,59.25,59.25,8.30%,0.50%,24625,3,,
v0.0.6,RTX8000 x 8,convnext_large-fp16,8,0,156.86,156.86,7.50%,0.50%,27565,0,,
v0.0.6,RTX8000 x 8,convnext_large-fp32,8,0,36.49,36.49,6.10%,0.40%,47435,0,,
v0.0.6,RTX8000 x 8,convnext_large-tf32,8,0,36.45,36.45,6.50%,0.40%,47435,0,,
v0.0.6,RTX8000 x 8,convnext_large-tf32-fp16,8,0,156.48,156.48,7.80%,0.50%,27565,3,,
v0.0.6,RTX8000 x 8,davit_large,8,0,129.53,129.53,11.00%,0.50%,33853,1,,
v0.0.6,RTX8000 x 8,davit_large-multi,1,0,964.03,964.03,2.70%,0.30%,41185,5,,
v0.0.6,RTX8000 x 8,dlrm,1,0,159849.79,159849.79,10.20%,1.30%,2681,1,,
v0.0.6,RTX8000 x 8,focalnet,8,0,181.87,181.87,6.10%,0.30%,25281,2,,
v0.0.6,RTX8000 x 8,opt-1_3b,1,0,4.45,4.45,0.20%,0.00%,43455,5,,
v0.0.6,RTX8000 x 8,opt-6_7b,1,1,NaN,2,NaN,NaN,721,5,,
v0.0.6,RTX8000 x 8,reformer,8,0,12.06,12.06,4.20%,0.20%,25449,1,,
v0.0.6,RTX8000 x 8,regnet_y_128gf,8,0,44.83,44.83,6.10%,0.30%,31703,2,,
v0.0.6,RTX8000 x 8,resnet152,8,0,300.33,300.33,10.80%,0.50%,32065,1,,
v0.0.6,RTX8000 x 8,resnet152-multi,1,0,2214.91,2214.91,10.00%,1.30%,38223,5,,
v0.0.6,RTX8000 x 8,resnet50,8,0,564.55,564.55,16.40%,0.70%,5121,1,,
v0.0.6,RTX8000 x 8,stargan,8,0,13.78,13.78,38.60%,1.80%,36609,1,,
v0.0.6,RTX8000 x 8,super-slomo,8,0,13.21,13.21,6.40%,0.30%,37305,1,,
v0.0.6,RTX8000 x 8,t5,8,0,17.76,17.76,8.50%,0.40%,35539,2,,
v0.0.6,RTX8000 x 8,whisper,8,0,10.94,10.94,6.40%,0.30%,36911,1,,
v0.0.6,RTX8000 x 4,bert-fp16,4,0,59.97,59.97,8.20%,0.70%,24625,0,,
v0.0.6,RTX8000 x 4,bert-fp32,4,0,21.71,21.71,9.90%,0.90%,31597,0,,
v0.0.6,RTX8000 x 4,bert-tf32,4,0,21.76,21.76,9.50%,0.90%,31597,0,,
v0.0.6,RTX8000 x 4,bert-tf32-fp16,4,0,60.31,60.31,7.40%,0.70%,24625,3,,
v0.0.6,RTX8000 x 4,convnext_large-fp16,4,0,153.81,153.81,6.60%,0.60%,27565,0,,
v0.0.6,RTX8000 x 4,convnext_large-fp32,4,0,35.66,35.66,5.80%,0.50%,47435,0,,
v0.0.6,RTX8000 x 4,convnext_large-tf32,4,0,35.64,35.64,5.70%,0.50%,47435,0,,
v0.0.6,RTX8000 x 4,convnext_large-tf32-fp16,4,0,154.13,154.13,6.70%,0.60%,27565,3,,
v0.0.6,RTX8000 x 4,davit_large,4,0,126.55,126.55,11.50%,0.70%,33853,1,,
v0.0.6,RTX8000 x 4,davit_large-multi,1,0,498.96,498.96,2.70%,0.40%,37531,5,,
v0.0.6,RTX8000 x 4,dlrm,1,0,241655.15,241655.15,10.50%,1.40%,3403,1,,
v0.0.6,RTX8000 x 4,focalnet,4,0,178.66,178.66,6.40%,0.40%,25251,2,,
v0.0.6,RTX8000 x 4,opt-1_3b,1,0,2.77,2.77,0.10%,0.00%,43497,5,,
v0.0.6,RTX8000 x 4,opt-6_7b,1,1,NaN,NaN,NaN,NaN,20363,5,,
v0.0.6,RTX8000 x 4,reformer,4,0,11.99,11.99,3.00%,0.20%,25449,1,,
v0.0.6,RTX8000 x 4,regnet_y_128gf,4,0,44.18,44.18,5.00%,0.30%,31703,2,,
v0.0.6,RTX8000 x 4,resnet152,4,0,296,296,11.00%,0.70%,31937,1,,
v0.0.6,RTX8000 x 4,resnet152-multi,1,0,1084.08,1084.08,9.20%,1.20%,42953,5,,
v0.0.6,RTX8000 x 4,resnet50,4,0,573.76,573.76,13.80%,0.90%,5121,1,,
v0.0.6,RTX8000 x 4,stargan,4,0,13.26,13.26,39.40%,2.50%,36651,1,,
v0.0.6,RTX8000 x 4,super-slomo,4,0,13.02,13.02,6.10%,0.40%,37305,1,,
v0.0.6,RTX8000 x 4,t5,4,0,17.78,17.78,8.50%,0.50%,35539,2,,
v0.0.6,RTX8000 x 4,whisper,4,0,21.54,21.54,14.80%,1.00%,36911,1,,
v0.0.6,RTX8000 x 8 - R5,bert-fp16,40,0,59.27,59.27,8.60%,0.20%,24625,,,
v0.0.6,RTX8000 x 8 - R5,bert-fp32,40,0,22.48,22.48,11.60%,0.30%,31597,,,
v0.0.6,RTX8000 x 8 - R5,bert-tf32,40,0,22.45,22.45,11.20%,0.30%,31597,,,
v0.0.6,RTX8000 x 8 - R5,bert-tf32-fp16,40,0,59.2,59.2,8.60%,0.20%,24625,,,
v0.0.6,RTX8000 x 8 - R5,convnext_large-fp16,40,0,156.33,156.33,8.10%,0.20%,27565,,,
v0.0.6,RTX8000 x 8 - R5,convnext_large-fp32,40,0,36.4,36.4,6.30%,0.20%,47435,,,
v0.0.6,RTX8000 x 8 - R5,convnext_large-tf32,40,0,36.4,36.4,6.40%,0.20%,47435,,,
v0.0.6,RTX8000 x 8 - R5,convnext_large-tf32-fp16,40,0,156.34,156.34,7.70%,0.20%,27565,,,
v0.0.6,RTX8000 x 8 - R5,davit_large,40,0,128.67,128.67,11.20%,0.20%,33853,,,
v0.0.6,RTX8000 x 8 - R5,davit_large-multi,5,0,947.71,947.71,6.50%,0.40%,41355,,,
v0.0.6,RTX8000 x 8 - R5,dlrm,5,0,488083.8,488083.8,592.30%,33.70%,2681,,,
v0.0.6,RTX8000 x 8 - R5,focalnet,40,0,182.16,182.16,6.00%,0.10%,31945,,,
v0.0.6,RTX8000 x 8 - R5,opt-1_3b,5,0,4.39,4.39,8.80%,0.70%,43525,,,
v0.0.6,RTX8000 x 8 - R5,sa,5,5,NaN,NaN,NaN,NaN,713,,,
v0.0.6,RTX8000 x 8 - R5,reformer,40,0,12.08,12.08,3.80%,0.10%,25449,,,
v0.0.6,RTX8000 x 8 - R5,regnet_y_128gf,40,0,44.81,44.81,6.10%,0.10%,31703,,,
v0.0.6,RTX8000 x 8 - R5,resnet152,40,0,299.71,299.71,11.20%,0.20%,32073,,,
v0.0.6,RTX8000 x 8 - R5,resnet152-multi,5,0,2213.26,2213.26,10.40%,0.60%,38277,,,
v0.0.6,RTX8000 x 8 - R5,resnet50,40,0,558.69,558.69,16.70%,0.30%,5121,,,
v0.0.6,RTX8000 x 8 - R5,stargan,40,0,13.83,13.83,38.60%,0.80%,37217,,,
v0.0.6,RTX8000 x 8 - R5,super-slomo,40,0,13.22,13.22,6.50%,0.10%,37305,,,
v0.0.6,RTX8000 x 8 - R5,t5,40,0,17.69,17.69,8.80%,0.20%,35539,,,
v0.0.6,RTX8000 x 8 - R5,whisper,40,0,10.93,10.93,8.40%,0.20%,36911,,,
v0.0.6,MI250 x 4,bert-fp16,4,0,83.53,83.53,1.30%,0.10%,23758,,,
v0.0.6,MI250 x 4,bert-fp32,4,0,50.01,50.01,1.80%,0.20%,30546,,,
v0.0.6,MI250 x 4,bert-tf32,4,0,50.07,50.07,1.70%,0.20%,30546,,,
v0.0.6,MI250 x 4,bert-tf32-fp16,4,0,83.62,83.62,1.00%,0.10%,23758,,,
v0.0.6,MI250 x 4,convnext_large-fp16,4,0,51.52,51.52,2.40%,0.20%,26416,,,
v0.0.6,MI250 x 4,convnext_large-fp32,4,0,23.9,23.9,15.30%,1.40%,46182,,,
v0.0.6,MI250 x 4,convnext_large-tf32,4,0,23.91,23.91,15.40%,1.40%,46182,,,
v0.0.6,MI250 x 4,convnext_large-tf32-fp16,4,0,51.59,51.59,2.40%,0.20%,26416,,,
v0.0.6,MI250 x 4,davit_large,4,3,51.41,12.85,0.80%,0.10%,33731,,,
v0.0.6,MI250 x 4,davit_large-multi,1,1,NaN,NaN,NaN,NaN,34189,,,
v0.0.6,MI250 x 4,dlrm,1,1,NaN,NaN,NaN,NaN,-1,,,
v0.0.6,MI250 x 4,focalnet,4,4,38.42,0,0.30%,0.20%,23792,,,
v0.0.6,MI250 x 4,opt-1_3b,1,0,6.51,6.51,4.30%,0.80%,43034,,,
v0.0.6,MI250 x 4,opt-6_7b,1,1,NaN,NaN,NaN,NaN,55458,,,
v0.0.6,MI250 x 4,reformer,4,0,18.36,18.36,0.20%,0.00%,24613,,,
v0.0.6,MI250 x 4,regnet_y_128gf,4,0,39.1,39.1,4.10%,0.30%,26859,,,
v0.0.6,MI250 x 4,resnet152,4,0,500.11,500.11,2.50%,0.20%,32802,,,
v0.0.6,MI250 x 4,resnet152-multi,1,0,1917.91,1917.91,1.40%,0.20%,42657,,,
v0.0.6,MI250 x 4,resnet50,4,0,775.14,775.14,10.80%,0.70%,4042,,,
v0.0.6,MI250 x 4,stargan,4,0,21.83,21.83,33.80%,2.20%,36575,,,
v0.0.6,MI250 x 4,super-slomo,4,0,26.99,26.99,0.60%,0.00%,33004,,,
v0.0.6,MI250 x 4,t5,4,0,29.13,29.13,1.70%,0.10%,34558,,,
v0.0.6,MI250 x 4,whisper,4,0,141.08,141.08,11.10%,0.70%,36712,,,
v0.0.7_ROCm5.7,MI250 x 8,bert-fp16,8,0,84.84,84.84,1.70%,0.10%,23722,,,
v0.0.7_ROCm5.7,MI250 x 8,bert-fp32,8,0,48.34,48.34,4.50%,0.30%,30593,,,
v0.0.7_ROCm5.7,MI250 x 8,bert-tf32,8,0,48.38,48.38,3.90%,0.30%,30593,,,
v0.0.7_ROCm5.7,MI250 x 8,bert-tf32-fp16,8,0,85.06,85.06,1.40%,0.10%,23722,,,
v0.0.7_ROCm5.7,MI250 x 8,convnext_large-fp16,8,0,26.05,26.05,3.10%,0.20%,26807,,,
v0.0.7_ROCm5.7,MI250 x 8,convnext_large-fp32,8,0,11.99,11.99,0.80%,0.10%,46592,,,
v0.0.7_ROCm5.7,MI250 x 8,convnext_large-tf32,8,0,11.98,11.98,0.60%,0.00%,46592,,,
v0.0.7_ROCm5.7,MI250 x 8,convnext_large-tf32-fp16,8,0,26.08,26.08,2.80%,0.20%,26794,,,
v0.0.7_ROCm5.7,MI250 x 8,davit_large,8,0,22.21,22.21,6.80%,0.30%,32883,,,
v0.0.7_ROCm5.7,MI250 x 8,davit_large-multi,1,0,188.78,188.78,18.30%,2.40%,40724,,,
v0.0.7_ROCm5.7,MI250 x 8,dlrm,1,0,336998.92,336998.92,5.20%,0.70%,2074,,,
v0.0.7_ROCm5.7,MI250 x 8,focalnet,8,0,25.34,25.34,1.50%,0.10%,24124,,,
v0.0.7_ROCm5.7,MI250 x 8,opt-1_3b,1,0,14.12,14.12,4.00%,0.70%,-1,,,
v0.0.7_ROCm5.7,MI250 x 8,opt-6_7b,1,0,7.24,7.24,3.50%,0.60%,-1,,,
v0.0.7_ROCm5.7,MI250 x 8,reformer,8,0,20.49,20.49,0.40%,0.00%,24581,,,
v0.0.7_ROCm5.7,MI250 x 8,regnet_y_128gf,8,0,33.03,33.03,5.90%,0.30%,28038,,,
v0.0.7_ROCm5.7,MI250 x 8,resnet152,8,0,487.71,487.71,8.70%,0.40%,32952,,,
v0.0.7_ROCm5.7,MI250 x 8,resnet152-multi,1,0,3421.45,3421.45,14.90%,1.90%,38028,,,
v0.0.7_ROCm5.7,MI250 x 8,resnet50,8,0,398.42,398.42,72.80%,3.30%,4139,,,
v0.0.7_ROCm5.7,MI250 x 8,stargan,8,0,16.9,16.9,49.90%,2.30%,36050,,,
v0.0.7_ROCm5.7,MI250 x 8,super-slomo,8,0,22.78,22.78,15.40%,0.70%,32995,,,
v0.0.7_ROCm5.7,MI250 x 8,t5,8,0,31.49,31.49,3.10%,0.10%,33482,,,
v0.0.7_ROCm5.7,MI250 x 8,whisper,8,0,120.61,120.61,11.60%,0.50%,36815,,,